Player,Salary,Season,PTS,AST,REB,TOV,GP,IntegrationMethod,Source
josh howard,923880.0,2006.0,923.0,111.0,371.0,79.0,59.0,Exact,both
jose calderon,2471604.0,2008.0,922.0,678.0,236.0,126.0,82.0,Exact,both
draymond green,915243.0,2015.0,921.0,291.0,647.0,133.0,79.0,Exact,both
terrence jones,1551840.0,2014.0,921.0,87.0,528.0,71.0,76.0,Exact,both
lou williams,770610.0,2008.0,920.0,253.0,167.0,125.0,80.0,Exact,both
deshawn stevenson,932015.0,2007.0,920.0,218.0,216.0,119.0,82.0,Exact,both
sean kilpatrick,980431.0,2017.0,919.0,157.0,280.0,135.0,70.0,Exact,both
grant hill,1830000.0,2008.0,919.0,203.0,353.0,96.0,70.0,Exact,both
jaesean tate,1755313.0,2022.0,919.0,222.0,420.0,139.0,78.0,Exact,both
malik beasley,1773840.0,2019.0,917.0,97.0,200.0,55.0,81.0,Exact,both
rodney rogers,2400000.0,2002.0,917.0,112.0,348.0,108.0,77.0,Exact,both
derrick rose,1512601.0,2019.0,917.0,220.0,140.0,82.0,51.0,Exact,both
keon clark,1971000.0,2002.0,915.0,88.0,603.0,140.0,81.0,Exact,both
ronnie brewer,1715040.0,2008.0,914.0,134.0,218.0,69.0,76.0,Exact,both
jeremy lin,2139000.0,2016.0,914.0,235.0,253.0,150.0,78.0,Exact,both
nate robinson,1268160.0,2008.0,913.0,212.0,222.0,103.0,72.0,Exact,both
marco belinelli,2750000.0,2014.0,911.0,179.0,226.0,95.0,80.0,Exact,both
darren collison,1900000.0,2014.0,911.0,297.0,188.0,132.0,80.0,Exact,both
jason thompson,1893840.0,2009.0,910.0,93.0,606.0,146.0,82.0,Exact,both
luke ridnour,1638000.0,2006.0,910.0,550.0,235.0,162.0,79.0,Exact,both
deshawn stevenson,1624000.0,2004.0,909.0,158.0,298.0,120.0,80.0,Exact,both
dj augustin,650215.0,2014.0,909.0,303.0,126.0,116.0,61.0,Exact,both
jr smith,2134067.0,2008.0,907.0,128.0,152.0,112.0,74.0,Exact,both
smush parker,798112.0,2007.0,907.0,228.0,206.0,153.0,82.0,Exact,both
metta world peace,1160000.0,2001.0,907.0,228.0,294.0,159.0,76.0,Exact,both
jameer nelson,1189200.0,2006.0,905.0,302.0,180.0,148.0,62.0,Exact,both
channing frye,1990000.0,2010.0,904.0,113.0,427.0,73.0,81.0,Exact,both
josh smith,1560000.0,2006.0,902.0,191.0,531.0,162.0,80.0,Exact,both
deshawn stevenson,2750000.0,2006.0,900.0,160.0,241.0,123.0,82.0,Exact,both
