Player,Salary,Season,PTS,AST,REB,TOV,GP,IntegrationMethod,Source
justise winslow,15842988.0,2021.0,178.0,50.0,118.0,37.0,26.0,Exact,both
vin baker,15750000.0,2006.0,27.0,4.0,19.0,9.0,8.0,Exact,both
anfernee hardaway,15750000.0,2006.0,10.0,8.0,10.0,6.0,4.0,Exact,both
grant hill,15694250.0,2006.0,318.0,48.0,80.0,35.0,21.0,Exact,both
jr smith,15680000.0,2020.0,17.0,3.0,5.0,4.0,6.0,Exact,both
brandon knight,15643750.0,2020.0,183.0,69.0,41.0,38.0,25.0,Exact,both
brandon knight,15643750.0,2020.0,104.0,38.0,21.0,22.0,9.0,Exact,both
brandon knight,15643750.0,2020.0,79.0,31.0,20.0,16.0,16.0,Exact,both
trevor ariza,15599250.0,2021.0,282.0,55.0,144.0,21.0,30.0,Exact,both
derrick rose,15547231.0,2022.0,311.0,103.0,78.0,39.0,26.0,Exact,both
ben wallace,15500000.0,2008.0,93.0,13.0,163.0,18.0,22.0,Exact,both
ben wallace,15500000.0,2008.0,255.0,92.0,441.0,49.0,50.0,Exact,both
ian mahinmi,15450051.0,2020.0,283.0,49.0,218.0,45.0,38.0,Exact,both
derrick rose,15396155.0,2023.0,152.0,46.0,40.0,22.0,27.0,Exact,both
brook lopez,15382110.0,2022.0,161.0,6.0,53.0,12.0,13.0,Exact,both
cory joseph,15355512.0,2021.0,228.0,105.0,60.0,35.0,19.0,Exact,both
cory joseph,15355512.0,2021.0,289.0,108.0,99.0,44.0,44.0,Exact,both
james johnson,15349400.0,2020.0,102.0,21.0,52.0,15.0,18.0,Exact,both
james johnson,15349400.0,2020.0,270.0,74.0,118.0,48.0,32.0,Exact,both
james johnson,15349400.0,2020.0,168.0,53.0,66.0,33.0,14.0,Exact,both
elton brand,15344000.0,2008.0,141.0,16.0,64.0,17.0,8.0,Exact,both
zach randolph,15200000.0,2012.0,324.0,48.0,225.0,40.0,28.0,Exact,both
robert covington,15004153.0,2022.0,239.0,24.0,117.0,17.0,23.0,Exact,both
trevor ariza,15000000.0,2019.0,258.0,87.0,145.0,39.0,26.0,Exact,both
